Audience View,Date,Aggregation,Audience Size
Your total audience,2026-06-04,Monthly,99000

Interests
Category,Bulk Sheet Category,Percent of audience,Affinity,Interest,Bulk Sheet Interests,Percent of audience,Affinity
Gardening,"{'name': 'Gardening', 'id': '909983286710'}",0.598,1.484,Planting,"{'name': 'Planting', 'id': '916000423671'}",0.42,0.546
Gardening,"{'name': 'Gardening', 'id': '909983286710'}",0.598,1.484,Garden Design,"{'name': 'Garden Design', 'id': '901468450490'}",0.399,2.513
Gardening,"{'name': 'Gardening', 'id': '909983286710'}",0.598,1.484,Garden Types,"{'name': 'Garden Types', 'id': '926108676086'}",0.283,2.522
Gardening,"{'name': 'Gardening', 'id': '909983286710'}",0.598,1.484,Gardening Supplies,"{'name': 'Gardening Supplies', 'id': '909773049272'}",0.041,1.39
Electronics,"{'name': 'Electronics', 'id': '960887632144'}",0.598,1.319,Cell Phones and Accessories,"{'name': 'Cell Phones and Accessories', 'id': '951444910525'}",0.367,0.516
Electronics,"{'name': 'Electronics', 'id': '960887632144'}",0.598,1.319,Computers Tablets and Accessories,"{'name': 'Computers Tablets and Accessories', 'id': '951929919689'}",0.076,1.191
Electronics,"{'name': 'Electronics', 'id': '960887632144'}",0.598,1.319,Cameras and Accessories,"{'name': 'Cameras and Accessories', 'id': '899043339668'}",0.046,1.828
Women's Fashion,"{'name': ""Women's Fashion"", 'id': '948967005229'}",0.596,1.047,Women's Style,"{'name': ""Women's Style"", 'id': '947341333711'}",0.431,0.78
Women's Fashion,"{'name': ""Women's Fashion"", 'id': '948967005229'}",0.596,1.047,Women's Jewelry and Accessories,"{'name': ""Women's Jewelry and Accessories"", 'id': '916487219793'}",0.421,0.873
Women's Fashion,"{'name': ""Women's Fashion"", 'id': '948967005229'}",0.596,1.047,Women's Shoes,"{'name': ""Women's Shoes"", 'id': '923271066791'}",0.42,1.051
Women's Fashion,"{'name': ""Women's Fashion"", 'id': '948967005229'}",0.596,1.047,Women's Bottoms,"{'name': ""Women's Bottoms"", 'id': '936466861734'}",0.312,0.896
